Song - marjorie, Popularity - 76
Song - seven, Popularity - 76
Song - New Year’s Day, Popularity - 76
Song - ‘tis the damn season, Popularity - 77
Song - So It Goes..., Popularity - 77
Song - Back To December, Popularity - 77
Song - Back To December, Popularity - 77
Song - Paris, Popularity - 78
Song - Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version), Popularity - 78
Song - Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault), Popularity - 78
Song - The Very First Night (Taylor's Version) (From The Vault), Popularity - 78
Song - invisible string, Popularity - 78
Song - This Is Why We Can't Have Nice Things, Popularity - 78
Song - Out Of The Woods, Popularity - 78
Song - Karma, Popularity - 79
Song - Would've, Could've, Should've, Popularity - 79
Song - Question...?, Popularity - 79
Song - Labyrinth, Popularity - 79
Song - Sweet Nothing, Popularity - 79
Song - All Too Well (Taylor's Version), Popularity - 79
Song - I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault), Popularity - 79
Song - Mr. Perfectly Fine (Taylor’s Version) (From The Vault), Popularity - 79
Song - tolerate it, Popularity - 79
Song - the last great american dynasty, Popularity - 79
Song - I Forgot That You Existed, Popularity - 79
Song - Dancing With Our Hands Tied, Popularity - 79
Song - New Romantics, Popularity - 79
Song - Mastermind, Popularity - 80
Song - this is me trying, Popularity - 80
Song - betty, Popularity - 80
Song - False God, Popularity - 80
Song - King Of My Heart, Popularity - 80
Song - 22 (Taylor's Version), Popularity - 81
Song - mirrorball, Popularity - 81
Song - illicit affairs, Popularity - 81
Song - I Think He Knows, Popularity - 81
Song - The Great War, Popularity - 82
Song - Snow On The Beach (feat. Lana Del Rey), Popularity - 82
Song - Vigilante Shit, Popularity - 82
Song - I Knew You Were Trouble (Taylor's Version), Popularity - 82
Song - right where you left me - bonus track, Popularity - 82
Song - exile (feat. Bon Iver), Popularity - 82
Song - my tears ricochet, Popularity - 82
Song - Death By A Thousand Cuts, Popularity - 82
Song - ME! (feat. Brendon Urie of Panic! At The Disco), Popularity - 82
Song - End Game, Popularity - 82
Song - Dress, Popularity - 82
Song - Call It What You Want, Popularity - 82
Song - Maroon, Popularity - 83
Song - Red (Taylor's Version), Popularity - 83
Song - We Are Never Ever Getting Back Together (Taylor's Version), Popularity - 83
Song - willow, Popularity - 83
Song - the 1, Popularity - 83
Song - Cornelia Street, Popularity - 83
Song - London Boy, Popularity - 83
Song - I Did Something Bad, Popularity - 83
Song - Superman (Taylor’s Version), Popularity - 84
Song - Karma (feat. Ice Spice), Popularity - 84
Song - Love Story (Taylor’s Version), Popularity - 84
Song - champagne problems, Popularity - 84
Song - The Archer, Popularity - 84
Song - Afterglow, Popularity - 84
Song - I Don’t Wanna Live Forever (Fifty Shades Darker), Popularity - 84
Song - Bad Blood, Popularity - 84
Song - Wildest Dreams, Popularity - 84
Song - Enchanted, Popularity - 84
Song - Never Grow Up (Taylor's Version), Popularity - 85
Song - Innocent (Taylor's Version), Popularity - 85
Song - Ours (Taylor’s Version), Popularity - 85
Song - Fearless (Taylor’s Version), Popularity - 85
Song - You Need To Calm Down, Popularity - 85
Song - ...Ready For It?, Popularity - 85
Song - Haunted (Taylor's Version), Popularity - 86
Song - Last Kiss (Taylor's Version), Popularity - 86
Song - Long Live (Taylor's Version), Popularity - 86
Song - Timeless (Taylor’s Version) (From The Vault), Popularity - 86
Song - You're On Your Own, Kid, Popularity - 86
Song - Bejeweled, Popularity - 86
Song - The Way I Loved You (Taylor’s Version), Popularity - 86
Song - Miss Americana & The Heartbreak Prince, Popularity - 86
Song - Daylight, Popularity - 86
Song - Gorgeous, Popularity - 86
Song - Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault), Popularity - 87
Song - When Emma Falls in Love (Taylor’s Version) (From The Vault), Popularity - 87
Song - Castles Crumbling (feat. Hayley Williams) (Taylor’s Version) (From The Vault), Popularity - 87
Song - Foolish One (Taylor’s Version) (From The Vault), Popularity - 87
Song - Snow On The Beach (feat. More Lana Del Rey), Popularity - 87
Song - Delicate, Popularity - 87
Song - Look What You Made Me Do, Popularity - 87
Song - Enchanted, Popularity - 87
Song - Dear John (Taylor's Version), Popularity - 88
Song - Mean (Taylor's Version), Popularity - 88
Song - The Story Of Us (Taylor's Version), Popularity - 88
Song - Hits Different, Popularity - 88
Song - Midnight Rain, Popularity - 88
Song - All Too Well (10 Minute Version) (Taylor's Version) (From The Vault), Popularity - 88
Song - You Belong With Me (Taylor’s Version), Popularity - 88
Song - The Man, Popularity - 88
Song - Paper Rings, Popularity - 88
Song - Shake It Off, Popularity - 88
Song - Sparks Fly (Taylor’s Version), Popularity - 89
Song - Speak Now (Taylor's Version), Popularity - 89
Song - Better Than Revenge (Taylor's Version), Popularity - 89
Song - Lavender Haze, Popularity - 89
Song - Getaway Car, Popularity - 89
Song - Mine (Taylor's Version), Popularity - 90
Song - Back To December (Taylor's Version), Popularity - 90
Song - Enchanted (Taylor's Version), Popularity - 90
